referral_lead_id,referring_partner_id,customer_id,country,service_type,industry,referred_at,matched_at,booked_at,resolved_at,referral_status,deal_size_estimate,urgency
RL00519,R005,,NO,audit,tech,2023-11-25,2023-11-27,,,negotiating,33792,high
RL00520,R006,,NO,bookkeeping,hospitality,2023-11-03,2023-11-05,,,matching,35802,medium
RL00521,R008,C00865,NO,accounting,other,2023-11-13,2023-11-16,2023-11-24,2023-12-06,booked,8587,high
RL00522,R006,,NO,tax_advisory,tech,2023-11-25,2023-11-26,,2023-12-01,lost,31747,medium
RL00523,R005,,NO,accounting,hospitality,2023-11-15,2023-11-18,,,negotiating,28697,medium
RL00524,R005,C01067,NO,tax_advisory,hospitality,2023-11-15,2023-11-17,2023-11-23,2023-12-16,booked,11786,medium
RL00525,R008,C01071,NO,payroll,professional_services,2023-11-11,2023-11-14,2023-11-16,2023-11-27,booked,35344,low
RL00526,R005,,NO,audit,professional_services,2023-12-02,2023-12-04,,2023-12-17,lost,5382,low
RL00527,R007,C00965,NO,accounting,professional_services,2023-12-16,2023-12-17,2023-12-26,2024-01-07,booked,44185,medium
RL00528,R006,,NO,accounting,retail,2023-12-01,2023-12-04,,,matching,9362,medium
RL00529,R007,C01199,NO,payroll,tech,2023-12-03,2023-12-06,2023-12-14,2023-12-27,booked,10468,high
RL00530,R008,C00942,NO,accounting,hospitality,2023-12-08,2023-12-11,2023-12-15,2024-01-09,booked,20142,low
RL00531,R007,,NO,payroll,hospitality,2023-12-05,2023-12-06,,,matching,9892,high
RL00532,R005,C01093,NO,tax_advisory,retail,2023-12-18,2023-12-19,2023-12-27,2024-01-01,booked,42394,medium
RL00533,R008,C01192,NO,bookkeeping,professional_services,2023-12-23,2023-12-24,2023-12-29,2024-01-23,booked,17151,medium
RL00534,R008,,NO,audit,hospitality,2023-12-23,2023-12-24,,,negotiating,7094,medium
RL00535,R006,C01078,NO,payroll,hospitality,2023-12-20,2023-12-21,2023-12-26,2023-12-31,booked,14396,medium
RL00536,R008,C00799,NO,tax_advisory,hospitality,2023-12-21,2023-12-23,2024-01-01,2024-01-23,booked,23833,low
RL00537,R008,C01256,NO,tax_advisory,tech,2023-12-05,2023-12-06,2023-12-12,2023-12-30,booked,25639,medium
RL00538,R006,,NO,audit,tech,2023-12-22,2023-12-25,,2024-01-07,lost,23464,medium
RL00539,R005,,NO,payroll,other,2023-12-08,2023-12-10,,,matching,31983,low
RL00540,R008,C00805,NO,bookkeeping,hospitality,2023-12-13,2023-12-15,2023-12-22,2024-01-10,booked,33045,medium
RL00541,R007,,NO,bookkeeping,retail,2024-01-27,,,,pending,27613,low
RL00542,R005,C01228,NO,payroll,professional_services,2024-01-17,2024-01-18,2024-01-28,2024-02-13,booked,19644,medium
RL00543,R008,,NO,audit,other,2024-01-03,2024-01-06,,2024-01-20,lost,28789,low
RL00544,R008,,NO,payroll,retail,2024-01-10,,,,pending,7217,medium
RL00545,R005,,NO,audit,tech,2024-01-10,2024-01-13,,2024-01-19,lost,4987,medium
RL00546,R006,,NO,bookkeeping,other,2024-01-01,2024-01-03,,2024-01-11,lost,32831,medium
RL00547,R008,,NO,payroll,other,2024-01-24,,,,pending,39573,medium
RL00548,R006,,NO,tax_advisory,hospitality,2024-01-19,,,,pending,11505,low
RL00549,R007,,NO,bookkeeping,hospitality,2024-01-04,2024-01-07,,,matching,20942,high
RL00550,R008,,NO,accounting,hospitality,2024-01-10,2024-01-13,,,matching,11087,medium
RL00551,R008,C01192,NO,bookkeeping,other,2024-01-13,2024-01-14,2024-01-21,2024-02-02,booked,11119,medium
RL00552,R006,,NO,tax_advisory,tech,2024-01-02,2024-01-04,,2024-01-16,lost,24856,low
RL00553,R008,,NO,audit,tech,2024-01-16,2024-01-18,,,matching,31683,low
RL00554,R006,C01053,NO,accounting,professional_services,2024-01-04,2024-01-05,2024-01-07,2024-01-20,booked,40716,low
RL00555,R005,C01303,NO,audit,hospitality,2024-01-03,2024-01-05,2024-01-13,2024-01-20,booked,12444,medium
RL00556,R005,C00947,NO,accounting,retail,2024-02-01,2024-02-04,2024-02-14,2024-03-10,booked,20887,medium
RL00557,R007,C01047,NO,audit,tech,2024-02-17,2024-02-20,2024-02-22,2024-03-10,booked,6778,low
RL00558,R006,C00803,NO,payroll,retail,2024-02-02,2024-02-03,2024-02-11,2024-02-19,booked,34031,medium
RL00559,R007,,NO,bookkeeping,professional_services,2024-02-06,,,,pending,27046,low
RL00560,R006,C00922,NO,audit,hospitality,2024-02-26,2024-02-29,2024-03-02,2024-03-10,booked,24828,medium
RL00561,R007,,NO,payroll,tech,2024-02-16,2024-02-19,,2024-02-24,lost,22343,high
RL00562,R008,C01141,NO,payroll,other,2024-02-09,2024-02-10,2024-02-17,2024-02-24,booked,10771,low
RL00563,R005,C00804,NO,bookkeeping,professional_services,2024-02-06,2024-02-07,2024-02-17,2024-03-02,booked,11119,medium
RL00564,R007,,NO,payroll,tech,2024-02-08,2024-02-11,,,matching,38942,medium
RL00565,R007,,NO,accounting,hospitality,2024-02-16,2024-02-17,,2024-02-23,lost,36588,low
RL00566,R007,C01106,NO,accounting,tech,2024-02-15,2024-02-16,2024-02-23,2024-03-07,booked,24766,medium
RL00567,R006,C01076,NO,bookkeeping,professional_services,2024-02-02,2024-02-05,2024-02-09,2024-02-24,booked,33339,medium
RL00568,R006,C00871,NO,accounting,hospitality,2024-02-10,2024-02-12,2024-02-21,2024-03-14,booked,31057,low
RL00569,R007,,NO,payroll,hospitality,2024-02-28,2024-03-01,,,negotiating,43363,medium
RL00570,R007,C01359,NO,audit,tech,2024-02-24,2024-02-26,2024-03-05,2024-03-25,booked,3153,high
RL00571,R007,,NO,accounting,hospitality,2024-03-09,2024-03-12,,,matching,35781,low
RL00572,R008,C00994,NO,audit,hospitality,2024-03-05,2024-03-06,2024-03-11,2024-03-31,booked,39829,high
RL00573,R005,,NO,accounting,professional_services,2024-03-22,2024-03-24,,,matching,7702,medium
RL00574,R006,C01018,NO,payroll,hospitality,2024-03-21,2024-03-22,2024-03-28,2024-04-07,booked,10205,low
RL00575,R006,,NO,audit,other,2024-03-01,2024-03-04,,2024-03-09,lost,18935,medium
RL00576,R006,C01223,NO,bookkeeping,tech,2024-03-07,2024-03-08,2024-03-14,2024-03-23,booked,40938,medium
RL00577,R006,,NO,audit,tech,2024-03-20,2024-03-21,,,negotiating,24660,low
RL00578,R008,,NO,audit,retail,2024-03-17,2024-03-20,,,matching,36696,medium
RL00579,R005,C00876,NO,accounting,tech,2024-03-07,2024-03-10,2024-03-12,2024-03-23,booked,11366,high
RL00580,R006,,NO,accounting,tech,2024-03-14,2024-03-16,,2024-03-28,lost,33822,medium
RL00581,R007,,NO,payroll,other,2024-03-23,2024-03-24,,,negotiating,26256,medium
RL00582,R005,,NO,tax_advisory,other,2024-03-17,2024-03-20,,2024-04-03,lost,42558,low
RL00583,R007,C01021,NO,tax_advisory,professional_services,2024-03-13,2024-03-15,2024-03-25,2024-04-12,booked,17926,low
RL00584,R007,,NO,tax_advisory,retail,2024-03-06,2024-03-07,,2024-03-16,lost,24481,medium
RL00585,R008,,NO,accounting,retail,2024-03-09,2024-03-10,,2024-03-24,lost,29594,low
RL00586,R005,,NO,tax_advisory,professional_services,2024-04-02,2024-04-05,,2024-04-19,lost,41437,low
RL00587,R005,C01200,NO,tax_advisory,tech,2024-04-07,2024-04-10,2024-04-18,2024-04-25,booked,14991,low
RL00588,R005,C00956,NO,tax_advisory,tech,2024-04-09,2024-04-12,2024-04-22,2024-05-14,booked,5355,low
RL00589,R007,,NO,accounting,hospitality,2024-04-19,2024-04-21,,2024-04-28,lost,10454,high
RL00590,R005,C00998,NO,payroll,hospitality,2024-04-05,2024-04-07,2024-04-11,2024-04-30,booked,22232,medium
RL00591,R007,C01171,NO,payroll,professional_services,2024-04-16,2024-04-17,2024-04-23,2024-05-03,booked,26558,medium
RL00592,R008,C01071,NO,payroll,professional_services,2024-04-11,2024-04-14,2024-04-18,2024-05-12,booked,28485,medium
RL00593,R008,C01346,NO,payroll,retail,2024-04-25,2024-04-28,2024-05-02,2024-05-23,booked,24490,high
RL00594,R005,,NO,audit,hospitality,2024-04-04,2024-04-05,,2024-04-12,lost,23608,low
RL00595,R005,C01021,NO,audit,tech,2024-04-10,2024-04-13,2024-04-23,2024-05-14,booked,38979,low
RL00596,R005,C01227,NO,payroll,retail,2024-04-10,2024-04-13,2024-04-20,2024-05-14,booked,15021,medium
RL00597,R005,C01091,NO,audit,tech,2024-04-03,2024-04-04,2024-04-11,2024-04-26,booked,19861,medium
RL00598,R008,,NO,bookkeeping,professional_services,2024-04-13,2024-04-14,,2024-04-28,lost,16290,medium
RL00599,R006,C01243,NO,payroll,retail,2024-04-23,2024-04-25,2024-04-30,2024-05-22,booked,44046,medium
RL00600,R008,,NO,audit,other,2024-04-17,2024-04-19,,2024-04-27,lost,18633,medium
RL00601,R006,C01130,NO,audit,tech,2024-05-13,2024-05-16,2024-05-21,2024-05-29,booked,7171,medium
RL00602,R008,,NO,bookkeeping,retail,2024-05-24,2024-05-27,,2024-06-07,lost,44021,medium
RL00603,R007,C00803,NO,audit,other,2024-05-12,2024-05-13,2024-05-23,2024-06-17,booked,39466,low
RL00604,R005,C00831,NO,audit,retail,2024-05-10,2024-05-13,2024-05-20,2024-06-02,booked,28689,medium
RL00605,R008,,NO,tax_advisory,retail,2024-05-02,2024-05-03,,2024-05-10,lost,7136,high
RL00606,R008,,NO,payroll,professional_services,2024-05-18,2024-05-21,,,negotiating,44954,medium
RL00607,R006,C01165,NO,accounting,other,2024-05-02,2024-05-04,2024-05-06,2024-05-17,booked,17558,medium
RL00608,R005,,NO,accounting,hospitality,2024-05-05,,,,pending,3669,medium
RL00609,R007,C01314,NO,tax_advisory,professional_services,2024-05-18,2024-05-21,2024-05-31,2024-06-11,booked,44660,low
RL00610,R008,C01256,NO,payroll,hospitality,2024-05-25,2024-05-28,2024-06-06,2024-07-01,booked,44446,medium
RL00611,R008,C00969,NO,bookkeeping,professional_services,2024-05-23,2024-05-26,2024-05-28,2024-06-04,booked,31897,high
RL00612,R005,,NO,bookkeeping,other,2024-05-22,2024-05-23,,,negotiating,43957,high
RL00613,R008,C00867,NO,bookkeeping,hospitality,2024-05-28,2024-05-30,2024-06-01,2024-06-07,booked,26103,medium
RL00614,R006,,NO,accounting,retail,2024-05-05,2024-05-08,,,negotiating,26679,medium
RL00615,R005,,NO,bookkeeping,hospitality,2024-05-21,2024-05-22,,2024-06-05,lost,43594,medium
RL00616,R005,C01055,NO,audit,retail,2024-06-12,2024-06-13,2024-06-20,2024-07-03,booked,43198,medium
RL00617,R006,,NO,tax_advisory,professional_services,2024-06-09,2024-06-12,,,negotiating,23764,medium
RL00618,R007,,NO,accounting,professional_services,2024-06-03,2024-06-04,,,matching,30141,high
RL00619,R006,,NO,audit,other,2024-06-01,2024-06-04,,,negotiating,43859,medium
RL00620,R005,C01189,NO,audit,tech,2024-06-25,2024-06-27,2024-07-06,2024-07-17,booked,21077,medium
RL00621,R007,C01278,NO,tax_advisory,retail,2024-06-17,2024-06-18,2024-06-26,2024-07-06,booked,38794,medium
RL00622,R007,C00895,NO,accounting,other,2024-06-25,2024-06-28,2024-07-04,2024-07-26,booked,19851,medium
RL00623,R005,C01392,NO,audit,retail,2024-06-24,2024-06-26,2024-07-05,2024-07-19,booked,34695,medium
RL00624,R005,C00978,NO,payroll,other,2024-06-06,2024-06-07,2024-06-16,2024-06-22,booked,15890,low
RL00625,R005,C00903,NO,accounting,hospitality,2024-06-16,2024-06-17,2024-06-24,2024-06-30,booked,17222,medium
RL00626,R005,,NO,tax_advisory,other,2024-06-20,2024-06-21,,,matching,18125,medium
RL00627,R005,,NO,payroll,other,2024-06-18,,,,pending,42604,medium
RL00628,R005,C01053,NO,audit,retail,2024-06-18,2024-06-21,2024-06-26,2024-07-03,booked,12092,medium
RL00629,R006,C01023,NO,accounting,professional_services,2024-06-22,2024-06-23,2024-06-27,2024-07-06,booked,9390,high
RL00630,R005,C01163,NO,tax_advisory,tech,2024-06-28,2024-07-01,2024-07-07,2024-07-17,booked,20043,low
RL00631,R005,,NO,bookkeeping,professional_services,2024-07-21,,,,pending,42358,medium
RL00632,R006,C01326,NO,accounting,retail,2024-07-20,2024-07-23,2024-07-30,2024-08-08,booked,17905,high
RL00633,R005,,NO,bookkeeping,hospitality,2024-07-25,2024-07-27,,2024-08-05,lost,7582,low
RL00634,R007,,NO,payroll,hospitality,2024-07-25,2024-07-27,,,matching,35551,medium
RL00635,R007,C00818,NO,bookkeeping,professional_services,2024-07-09,2024-07-10,2024-07-18,2024-08-01,booked,22948,medium
RL00636,R005,C01159,NO,tax_advisory,tech,2024-07-13,2024-07-16,2024-07-21,2024-08-03,booked,16555,medium
RL00637,R005,C01418,NO,tax_advisory,tech,2024-07-04,2024-07-07,2024-07-12,2024-07-28,booked,36736,high
RL00638,R007,,NO,accounting,hospitality,2024-07-28,,,,pending,39267,high
RL00639,R005,C00901,NO,audit,hospitality,2024-07-17,2024-07-18,2024-07-26,2024-08-02,booked,44966,low
RL00640,R005,C01039,NO,tax_advisory,retail,2024-07-19,2024-07-21,2024-07-30,2024-08-10,booked,43175,low
RL00641,R007,,NO,accounting,other,2024-07-28,2024-07-29,,,negotiating,38663,low
RL00642,R007,C01284,NO,accounting,professional_services,2024-07-24,2024-07-26,2024-07-30,2024-08-11,booked,33562,medium
RL00643,R007,,NO,audit,tech,2024-07-01,2024-07-04,,2024-07-18,lost,43640,medium
RL00644,R006,C01304,NO,payroll,professional_services,2024-07-15,2024-07-18,2024-07-21,2024-08-10,booked,20986,medium
RL00645,R005,C01135,NO,audit,hospitality,2024-07-14,2024-07-15,2024-07-17,2024-08-02,booked,42318,low
RL00646,R006,C00917,NO,accounting,tech,2024-08-22,2024-08-25,2024-09-04,2024-09-17,booked,8097,medium
RL00647,R008,,NO,tax_advisory,professional_services,2024-08-26,2024-08-28,,2024-09-07,lost,37631,medium
RL00648,R007,,NO,accounting,hospitality,2024-08-05,,,,pending,28230,medium
RL00649,R007,C00933,NO,payroll,tech,2024-08-12,2024-08-13,2024-08-19,2024-08-27,booked,3935,high
RL00650,R007,C01082,NO,payroll,tech,2024-08-12,2024-08-15,2024-08-18,2024-09-09,booked,40661,medium
RL00651,R005,,NO,accounting,hospitality,2024-08-11,2024-08-12,,2024-08-18,lost,36724,medium
RL00652,R006,,NO,audit,professional_services,2024-08-03,2024-08-05,,,matching,10744,low
RL00653,R006,,NO,bookkeeping,other,2024-08-04,2024-08-05,,2024-08-11,lost,16868,low
RL00654,R008,C01457,NO,payroll,retail,2024-08-16,2024-08-19,2024-08-22,2024-08-30,booked,3695,medium
RL00655,R007,,NO,payroll,other,2024-08-04,2024-08-06,,2024-08-18,lost,3463,medium
RL00656,R007,C01345,NO,audit,other,2024-08-20,2024-08-23,2024-08-31,2024-09-08,booked,42682,low
RL00657,R005,C01121,NO,tax_advisory,professional_services,2024-08-18,2024-08-19,2024-08-24,2024-09-06,booked,9042,medium
RL00658,R005,C00838,NO,audit,tech,2024-08-22,2024-08-23,2024-08-28,2024-09-17,booked,9305,low
RL00659,R005,,NO,payroll,tech,2024-08-07,2024-08-10,,2024-08-24,lost,20168,medium
RL00660,R007,,NO,audit,other,2024-08-17,2024-08-18,,2024-08-24,lost,20607,medium
RL00661,R007,,NO,audit,retail,2024-09-28,2024-09-29,,2024-10-14,lost,27524,high
RL00662,R008,,NO,bookkeeping,retail,2024-09-14,,,,pending,22929,medium
RL00663,R005,,NO,tax_advisory,hospitality,2024-09-04,2024-09-06,,2024-09-13,lost,40236,medium
RL00664,R005,C00932,NO,tax_advisory,tech,2024-09-13,2024-09-15,2024-09-18,2024-10-04,booked,33704,low
RL00665,R006,C01083,NO,bookkeeping,professional_services,2024-09-15,2024-09-18,2024-09-23,2024-10-18,booked,17719,medium
RL00666,R008,,NO,bookkeeping,other,2024-09-01,2024-09-04,,2024-09-15,lost,12194,medium
RL00667,R006,,NO,tax_advisory,professional_services,2024-09-15,,,,pending,35136,low
RL00668,R006,,NO,payroll,tech,2024-09-03,,,,pending,6296,low
RL00669,R008,C01172,NO,tax_advisory,professional_services,2024-09-24,2024-09-27,2024-09-29,2024-10-12,booked,4508,medium
RL00670,R008,,NO,tax_advisory,professional_services,2024-09-14,2024-09-17,,,matching,20886,low
RL00671,R008,C01460,NO,accounting,tech,2024-09-14,2024-09-15,2024-09-23,2024-10-13,booked,23706,high
RL00672,R005,C01469,NO,accounting,retail,2024-09-26,2024-09-27,2024-10-03,2024-10-14,booked,39030,low
RL00673,R005,,NO,accounting,retail,2024-09-03,2024-09-06,,,matching,13553,medium
RL00674,R007,,NO,audit,hospitality,2024-09-07,2024-09-08,,,matching,43151,medium
RL00675,R005,C01382,NO,tax_advisory,tech,2024-09-06,2024-09-09,2024-09-16,2024-10-04,booked,28142,medium
RL00676,R008,,NO,bookkeeping,retail,2024-10-15,2024-10-18,,2024-10-28,lost,31542,medium
RL00677,R007,C01076,NO,tax_advisory,professional_services,2024-10-15,2024-10-16,2024-10-26,2024-11-07,booked,44908,medium
RL00678,R008,,NO,payroll,tech,2024-10-28,,,,pending,40170,low
RL00679,R006,C01263,NO,bookkeeping,professional_services,2024-10-28,2024-10-29,2024-11-08,2024-12-02,booked,41141,medium
RL00680,R006,,NO,audit,professional_services,2024-10-17,2024-10-19,,,negotiating,15389,medium
RL00681,R008,C01230,NO,payroll,hospitality,2024-10-10,2024-10-11,2024-10-18,2024-11-02,booked,35938,medium
RL00682,R006,C01279,NO,bookkeeping,other,2024-10-07,2024-10-08,2024-10-13,2024-10-27,booked,40242,medium
RL00683,R006,,NO,accounting,tech,2024-10-26,2024-10-28,,2024-11-03,lost,16075,medium
RL00684,R008,,NO,tax_advisory,retail,2024-10-11,2024-10-14,,,matching,6280,medium
RL00685,R006,C00857,NO,payroll,other,2024-10-02,2024-10-05,2024-10-10,2024-10-16,booked,35306,medium
RL00686,R007,,NO,payroll,tech,2024-10-10,,,,pending,8787,medium
RL00687,R008,,NO,tax_advisory,professional_services,2024-10-05,,,,pending,15976,medium
RL00688,R007,,NO,bookkeeping,tech,2024-10-08,2024-10-11,,,matching,19723,medium
RL00689,R008,C01149,NO,tax_advisory,professional_services,2024-10-06,2024-10-08,2024-10-13,2024-11-05,booked,32599,low
RL00690,R007,C01095,NO,accounting,hospitality,2024-10-07,2024-10-10,2024-10-16,2024-11-02,booked,44534,low
RL00691,R008,C01287,NO,tax_advisory,retail,2024-11-18,2024-11-21,2024-12-01,2024-12-17,booked,4871,medium
RL00692,R006,,NO,audit,tech,2024-11-09,2024-11-10,,,negotiating,36874,medium
RL00693,R006,C01524,NO,accounting,hospitality,2024-11-20,2024-11-23,2024-11-27,2024-12-05,booked,31345,medium
RL00694,R007,,NO,payroll,tech,2024-11-14,2024-11-16,,2024-11-24,lost,32291,high
RL00695,R007,,NO,bookkeeping,other,2024-11-10,2024-11-12,,2024-11-18,lost,6200,low
RL00696,R008,,NO,audit,hospitality,2024-11-02,,,,pending,24409,medium
RL00697,R007,C01476,NO,accounting,tech,2024-11-17,2024-11-18,2024-11-21,2024-11-26,booked,28927,medium
RL00698,R005,,NO,bookkeeping,tech,2024-11-12,2024-11-15,,2024-11-27,lost,36853,medium
RL00699,R006,,NO,audit,hospitality,2024-11-08,2024-11-11,,2024-11-25,lost,40001,medium
RL00700,R005,C01011,NO,payroll,hospitality,2024-11-07,2024-11-10,2024-11-17,2024-11-27,booked,19128,medium
RL00701,R005,,NO,accounting,professional_services,2024-11-08,2024-11-09,,2024-11-17,lost,29892,medium
RL00702,R005,C01018,NO,bookkeeping,other,2024-11-10,2024-11-13,2024-11-23,2024-11-30,booked,32829,medium
RL00703,R007,,NO,tax_advisory,tech,2024-11-14,,,,pending,17399,low
RL00704,R007,C00994,NO,accounting,tech,2024-11-10,2024-11-12,2024-11-20,2024-11-30,booked,7909,low
RL00705,R007,C01381,NO,accounting,professional_services,2024-11-12,2024-11-15,2024-11-21,2024-12-15,booked,35842,low
RL00706,R007,,NO,tax_advisory,professional_services,2024-12-07,2024-12-10,,2024-12-19,lost,7005,low
RL00707,R007,C01275,NO,accounting,other,2024-12-14,2024-12-16,2024-12-25,2025-01-10,booked,9970,high
RL00708,R006,,NO,bookkeeping,other,2024-12-26,2024-12-28,,2025-01-08,lost,26416,medium
RL00709,R008,C01225,NO,accounting,other,2024-12-01,2024-12-03,2024-12-11,2025-01-05,booked,15500,high
RL00710,R005,,NO,tax_advisory,tech,2024-12-12,2024-12-15,,2024-12-25,lost,14449,medium
RL00711,R005,C00946,NO,audit,professional_services,2024-12-11,2024-12-14,2024-12-24,2025-01-16,booked,18276,high
RL00712,R007,C01435,NO,bookkeeping,professional_services,2024-12-15,2024-12-16,2024-12-21,2025-01-12,booked,36176,medium
RL00713,R006,C01521,NO,payroll,other,2024-12-19,2024-12-22,2024-12-24,2025-01-15,booked,24993,medium
RL00714,R007,C01576,NO,payroll,tech,2024-12-24,2024-12-25,2025-01-04,2025-01-29,booked,11356,medium
RL00715,R007,,NO,payroll,hospitality,2024-12-25,2024-12-27,,,matching,34507,medium
RL00716,R005,C01023,NO,payroll,professional_services,2024-12-16,2024-12-18,2024-12-27,2025-01-20,booked,11177,medium
RL00717,R007,C01179,NO,payroll,retail,2024-12-26,2024-12-28,2025-01-04,2025-01-12,booked,42051,high
RL00718,R005,C00936,NO,bookkeeping,hospitality,2024-12-12,2024-12-14,2024-12-24,2025-01-11,booked,36270,low
RL00719,R008,C01253,NO,bookkeeping,other,2024-12-01,2024-12-02,2024-12-07,2024-12-23,booked,30277,medium
RL00720,R006,,NO,accounting,tech,2024-12-22,2024-12-23,,2024-12-29,lost,27913,low
RL00721,R012,C01665,SE,tax_advisory,retail,2023-01-20,2023-01-22,2023-01-30,2023-02-09,booked,21685,high
RL00722,R010,,SE,payroll,professional_services,2023-01-10,,,,pending,41761,medium
RL00723,R012,C01769,SE,accounting,professional_services,2023-01-28,2023-01-29,2023-02-04,2023-02-10,booked,32967,medium
RL00724,R012,C01613,SE,accounting,tech,2023-01-05,2023-01-06,2023-01-12,2023-02-02,booked,4171,high
RL00725,R009,,SE,payroll,professional_services,2023-01-07,2023-01-08,,,matching,20368,medium
RL00726,R012,,SE,audit,tech,2023-01-04,2023-01-05,,2023-01-14,lost,9212,medium
RL00727,R010,C01830,SE,accounting,other,2023-01-10,2023-01-13,2023-01-19,2023-02-03,booked,7353,medium
RL00728,R012,C01796,SE,bookkeeping,professional_services,2023-01-26,2023-01-27,2023-02-02,2023-02-23,booked,8811,medium
RL00729,R012,,SE,payroll,other,2023-01-09,2023-01-12,,2023-01-21,lost,18207,medium
RL00730,R012,C01617,SE,payroll,other,2023-01-10,2023-01-11,2023-01-16,2023-02-10,booked,36861,medium
RL00731,R010,C01800,SE,payroll,hospitality,2023-01-17,2023-01-20,2023-01-28,2023-02-02,booked,28266,medium
RL00732,R012,C01839,SE,bookkeeping,retail,2023-01-21,2023-01-22,2023-01-30,2023-02-10,booked,5356,medium
RL00733,R012,C01678,SE,accounting,professional_services,2023-01-04,2023-01-07,2023-01-17,2023-01-28,booked,33687,medium
RL00734,R010,,SE,tax_advisory,retail,2023-01-22,2023-01-25,,2023-01-30,lost,39254,medium
RL00735,R010,,SE,bookkeeping,hospitality,2023-01-17,,,,pending,12678,low
RL00736,R009,C01684,SE,bookkeeping,professional_services,2023-02-16,2023-02-19,2023-02-28,2023-03-06,booked,11587,low
RL00737,R010,C01749,SE,tax_advisory,retail,2023-02-13,2023-02-15,2023-02-19,2023-02-25,booked,20027,medium
RL00738,R009,C01865,SE,payroll,professional_services,2023-02-19,2023-02-20,2023-02-27,2023-03-04,booked,27398,low
RL00739,R010,C01850,SE,audit,retail,2023-02-02,2023-02-05,2023-02-10,2023-02-25,booked,4001,medium
RL00740,R009,C01639,SE,tax_advisory,tech,2023-02-09,2023-02-12,2023-02-16,2023-02-26,booked,12814,medium
RL00741,R010,,SE,bookkeeping,tech,2023-02-12,2023-02-15,,2023-02-20,lost,21187,medium
RL00742,R012,C01689,SE,bookkeeping,professional_services,2023-02-14,2023-02-15,2023-02-21,2023-02-26,booked,36601,medium
RL00743,R009,,SE,audit,tech,2023-02-16,2023-02-17,,,matching,11837,high
RL00744,R012,C01828,SE,tax_advisory,retail,2023-02-04,2023-02-07,2023-02-09,2023-03-05,booked,10635,medium
RL00745,R010,,SE,tax_advisory,other,2023-02-16,2023-02-18,,2023-03-04,lost,39135,low
RL00746,R009,,SE,accounting,retail,2023-02-10,2023-02-12,,2023-02-21,lost,20160,medium
RL00747,R012,,SE,payroll,other,2023-02-21,,,,pending,33732,medium
RL00748,R012,C01788,SE,payroll,professional_services,2023-02-20,2023-02-21,2023-02-23,2023-02-28,booked,20011,medium
RL00749,R009,C01827,SE,tax_advisory,tech,2023-02-21,2023-02-22,2023-02-28,2023-03-21,booked,9039,medium
RL00750,R012,,SE,accounting,other,2023-02-10,2023-02-13,,2023-02-21,lost,39800,high
RL00751,R009,C01886,SE,accounting,other,2023-03-27,2023-03-28,2023-04-01,2023-04-25,booked,33320,medium
RL00752,R012,C01682,SE,accounting,other,2023-03-01,2023-03-02,2023-03-06,2023-03-26,booked,10516,medium
RL00753,R012,,SE,accounting,retail,2023-03-17,2023-03-20,,,negotiating,10142,high
RL00754,R010,,SE,bookkeeping,hospitality,2023-03-07,2023-03-09,,,negotiating,30829,medium
RL00755,R012,C01728,SE,bookkeeping,professional_services,2023-03-03,2023-03-06,2023-03-08,2023-03-26,booked,14999,medium
RL00756,R012,C01625,SE,bookkeeping,other,2023-03-20,2023-03-22,2023-03-29,2023-04-09,booked,4713,high
RL00757,R012,,SE,audit,tech,2023-03-22,2023-03-24,,,matching,23678,low
RL00758,R010,,SE,payroll,hospitality,2023-03-25,2023-03-28,,2023-04-11,lost,35637,low
RL00759,R010,,SE,bookkeeping,retail,2023-03-11,2023-03-12,,,matching,15503,medium
RL00760,R012,,SE,bookkeeping,other,2023-03-26,2023-03-29,,2023-04-11,lost,12227,medium
RL00761,R009,C01590,SE,audit,professional_services,2023-03-01,2023-03-03,2023-03-13,2023-03-18,booked,7953,low
RL00762,R010,C01837,SE,bookkeeping,other,2023-03-09,2023-03-11,2023-03-19,2023-04-08,booked,10502,medium
RL00763,R012,,SE,audit,other,2023-03-24,2023-03-26,,,matching,8095,medium
RL00764,R012,C01858,SE,tax_advisory,tech,2023-03-15,2023-03-16,2023-03-20,2023-04-07,booked,10022,low
RL00765,R009,,SE,bookkeeping,professional_services,2023-03-12,2023-03-14,,2023-03-26,lost,15430,low
RL00766,R010,,SE,accounting,hospitality,2023-04-27,,,,pending,24797,low
RL00767,R012,C01807,SE,audit,professional_services,2023-04-10,2023-04-13,2023-04-16,2023-05-02,booked,29804,medium
RL00768,R012,C01610,SE,payroll,tech,2023-04-27,2023-04-28,2023-05-06,2023-05-23,booked,37101,medium
RL00769,R009,,SE,audit,other,2023-04-05,2023-04-07,,2023-04-16,lost,31102,medium
RL00770,R012,,SE,payroll,professional_services,2023-04-09,,,,pending,40631,medium
RL00771,R012,,SE,audit,professional_services,2023-04-11,2023-04-13,,2023-04-19,lost,16022,low
RL00772,R009,C01680,SE,payroll,hospitality,2023-04-23,2023-04-24,2023-04-29,2023-05-19,booked,40735,medium
RL00773,R012,,SE,audit,professional_services,2023-04-05,2023-04-07,,,matching,25771,high
RL00774,R009,,SE,bookkeeping,retail,2023-04-12,,,,pending,19945,medium
RL00775,R012,C01794,SE,bookkeeping,tech,2023-04-02,2023-04-04,2023-04-06,2023-04-25,booked,31129,medium
RL00776,R010,C01600,SE,bookkeeping,other,2023-04-13,2023-04-14,2023-04-21,2023-05-13,booked,11723,low
